tick,timestamp,weather_pattern,tariff,actual_inflow,expected_inflow,actual_cost,forecast_optimizer_cost,cost_delta_optimizer_minus_actual,actual_ending_volume,forecast_optimizer_ending_volume,actual_pumped,forecast_optimizer_pumped,actual_warnings,forecast_optimizer_warnings
1,2026-06-01T00:00:00+00:00,dry,228.42,0.30,0.3290,1827.36,0.00,-1827.36,127.30,135.30,8.00,0.00,,
2,2026-06-01T00:30:00+00:00,dry,228.42,0.19,0.1930,913.68,0.00,-913.68,123.49,135.49,4.00,0.00,,
3,2026-06-01T01:00:00+00:00,dry,228.42,0.48,0.4881,1827.36,0.00,-1827.36,115.97,135.97,8.00,0.00,,
4,2026-06-01T01:30:00+00:00,dry,228.42,0.37,0.4015,0.00,0.00,0.00,116.34,136.34,0.00,0.00,,
5,2026-06-01T02:00:00+00:00,dry,228.42,0.29,0.3008,3654.72,0.00,-3654.72,100.63,136.63,16.00,0.00,,
6,2026-06-01T02:30:00+00:00,dry,228.42,0.25,0.2701,3654.72,0.00,-3654.72,84.88,136.88,16.00,0.00,,
7,2026-06-01T03:00:00+00:00,dry,228.42,0.50,0.5417,3654.72,0.00,-3654.72,69.38,137.38,16.00,0.00,,
8,2026-06-01T03:30:00+00:00,dry,228.42,0.34,0.3489,2741.04,0.00,-2741.04,57.72,137.72,12.00,0.00,,
9,2026-06-01T04:00:00+00:00,dry,257.37,0.21,0.2231,2058.96,0.00,-2058.96,49.93,137.93,8.00,0.00,,
10,2026-06-01T04:30:00+00:00,dry,257.37,0.17,0.1831,1029.48,0.00,-1029.48,46.10,138.10,4.00,0.00,,
11,2026-06-01T05:00:00+00:00,dry,257.37,0.25,0.2612,0.00,0.00,0.00,46.35,138.35,0.00,0.00,,
12,2026-06-01T05:30:00+00:00,dry,257.37,1.82,1.8550,0.00,0.00,0.00,48.17,140.17,0.00,0.00,,
13,2026-06-01T06:00:00+00:00,dry,257.37,1.83,1.9249,1029.48,0.00,-1029.48,46.00,142.00,4.00,0.00,,
14,2026-06-01T06:30:00+00:00,dry,257.37,1.60,1.6202,0.00,0.00,0.00,47.60,143.60,0.00,0.00,,
15,2026-06-01T07:00:00+00:00,dry,257.37,1.75,1.8082,0.00,0.00,0.00,49.35,145.35,0.00,0.00,,
16,2026-06-01T07:30:00+00:00,dry,257.37,1.74,1.8384,0.00,0.00,0.00,51.09,147.09,0.00,0.00,,
17,2026-06-01T08:00:00+00:00,dry,282.66,1.79,1.9054,1130.64,0.00,-1130.64,48.88,148.88,4.00,0.00,,
18,2026-06-01T08:30:00+00:00,dry,282.66,1.62,1.6934,1130.64,0.00,-1130.64,46.50,150.50,4.00,0.00,,
