tick,timestamp,weather_pattern,tariff,inflow,simulation_30_min_cost,optimizer_12_hour_cost,cost_delta_12h_minus_30m,simulation_30_min_ending_volume,optimizer_12_hour_ending_volume,simulation_30_min_pumped,optimizer_12_hour_pumped,simulation_30_min_warnings,optimizer_12_hour_warnings
1,2026-06-01T00:00:00+00:00,dry,228.42,0.30,0.00,0.00,0.00,135.30,135.30,0.00,0.00,,
2,2026-06-01T00:30:00+00:00,dry,228.42,0.19,0.00,0.00,0.00,135.49,135.49,0.00,0.00,,
3,2026-06-01T01:00:00+00:00,dry,228.42,0.48,0.00,0.00,0.00,135.97,135.97,0.00,0.00,,
4,2026-06-01T01:30:00+00:00,dry,228.42,0.37,0.00,0.00,0.00,136.34,136.34,0.00,0.00,,
5,2026-06-01T02:00:00+00:00,dry,228.42,0.29,0.00,0.00,0.00,136.63,136.63,0.00,0.00,,
6,2026-06-01T02:30:00+00:00,dry,228.42,0.25,0.00,0.00,0.00,136.88,136.88,0.00,0.00,,
7,2026-06-01T03:00:00+00:00,dry,228.42,0.50,0.00,0.00,0.00,137.38,137.38,0.00,0.00,,
8,2026-06-01T03:30:00+00:00,dry,228.42,0.34,0.00,0.00,0.00,137.72,137.72,0.00,0.00,,
9,2026-06-01T04:00:00+00:00,dry,257.37,0.21,0.00,0.00,0.00,137.93,137.93,0.00,0.00,,
10,2026-06-01T04:30:00+00:00,dry,257.37,0.17,0.00,0.00,0.00,138.10,138.10,0.00,0.00,,
11,2026-06-01T05:00:00+00:00,dry,257.37,0.25,0.00,0.00,0.00,138.35,138.35,0.00,0.00,,
12,2026-06-01T05:30:00+00:00,dry,257.37,1.82,0.00,0.00,0.00,140.17,140.17,0.00,0.00,,
13,2026-06-01T06:00:00+00:00,dry,257.37,1.83,0.00,0.00,0.00,142.00,142.00,0.00,0.00,,
14,2026-06-01T06:30:00+00:00,dry,257.37,1.60,0.00,0.00,0.00,143.60,143.60,0.00,0.00,,
15,2026-06-01T07:00:00+00:00,dry,257.37,1.75,0.00,0.00,0.00,145.35,145.35,0.00,0.00,,
16,2026-06-01T07:30:00+00:00,dry,257.37,1.74,0.00,0.00,0.00,147.09,147.09,0.00,0.00,,
17,2026-06-01T08:00:00+00:00,dry,282.66,1.79,0.00,0.00,0.00,148.88,148.88,0.00,0.00,,
18,2026-06-01T08:30:00+00:00,dry,282.66,1.62,0.00,0.00,0.00,150.50,150.50,0.00,0.00,,
19,2026-06-01T09:00:00+00:00,dry,282.66,1.81,0.00,0.00,0.00,152.31,152.31,0.00,0.00,,
20,2026-06-01T09:30:00+00:00,dry,282.66,1.77,0.00,0.00,0.00,154.08,154.08,0.00,0.00,,
21,2026-06-01T10:00:00+00:00,dry,282.66,1.84,0.00,0.00,0.00,155.92,155.92,0.00,0.00,,
22,2026-06-01T10:30:00+00:00,dry,282.66,0.98,0.00,0.00,0.00,156.90,156.90,0.00,0.00,,
23,2026-06-01T11:00:00+00:00,dry,282.66,0.85,0.00,0.00,0.00,157.75,157.75,0.00,0.00,,
24,2026-06-01T11:30:00+00:00,dry,282.66,0.65,0.00,0.00,0.00,158.40,158.40,0.00,0.00,,
25,2026-06-01T12:00:00+00:00,dry,283.90,0.87,0.00,0.00,0.00,159.27,159.27,0.00,0.00,,
26,2026-06-01T12:30:00+00:00,dry,283.90,0.69,0.00,0.00,0.00,159.96,159.96,0.00,0.00,,
27,2026-06-01T13:00:00+00:00,dry,283.90,0.80,0.00,0.00,0.00,160.76,160.76,0.00,0.00,,
28,2026-06-01T13:30:00+00:00,dry,283.90,0.93,0.00,0.00,0.00,161.69,161.69,0.00,0.00,,
29,2026-06-01T14:00:00+00:00,dry,283.90,0.70,0.00,0.00,0.00,162.39,162.39,0.00,0.00,,
30,2026-06-01T14:30:00+00:00,dry,283.90,0.70,0.00,0.00,0.00,163.09,163.09,0.00,0.00,,
31,2026-06-01T15:00:00+00:00,dry,283.90,0.67,0.00,0.00,0.00,163.76,163.76,0.00,0.00,,
32,2026-06-01T15:30:00+00:00,dry,283.90,0.79,0.00,0.00,0.00,164.55,164.55,0.00,0.00,,
33,2026-06-01T16:00:00+00:00,dry,302.47,1.70,0.00,0.00,0.00,166.25,166.25,0.00,0.00,,
34,2026-06-01T16:30:00+00:00,dry,302.47,1.82,0.00,0.00,0.00,168.07,168.07,0.00,0.00,,
35,2026-06-01T17:00:00+00:00,dry,302.47,2.01,0.00,0.00,0.00,170.08,170.08,0.00,0.00,,
36,2026-06-01T17:30:00+00:00,dry,302.47,1.72,0.00,0.00,0.00,171.80,171.80,0.00,0.00,,
37,2026-06-01T18:00:00+00:00,dry,302.47,1.68,0.00,0.00,0.00,173.48,173.48,0.00,0.00,,
38,2026-06-01T18:30:00+00:00,dry,302.47,1.82,0.00,0.00,0.00,175.30,175.30,0.00,0.00,,
39,2026-06-01T19:00:00+00:00,dry,302.47,1.88,0.00,0.00,0.00,177.18,177.18,0.00,0.00,,
40,2026-06-01T19:30:00+00:00,dry,302.47,1.74,0.00,0.00,0.00,178.92,178.92,0.00,0.00,,
41,2026-06-01T20:00:00+00:00,dry,277.06,2.02,0.00,0.00,0.00,180.94,180.94,0.00,0.00,,
42,2026-06-01T20:30:00+00:00,dry,277.06,1.84,0.00,0.00,0.00,182.78,182.78,0.00,0.00,,
43,2026-06-01T21:00:00+00:00,dry,277.06,1.86,0.00,0.00,0.00,184.64,184.64,0.00,0.00,,
44,2026-06-01T21:30:00+00:00,dry,277.06,0.52,0.00,0.00,0.00,185.16,185.16,0.00,0.00,,
45,2026-06-01T22:00:00+00:00,dry,277.06,0.28,0.00,0.00,0.00,185.44,185.44,0.00,0.00,,
46,2026-06-01T22:30:00+00:00,dry,277.06,0.58,0.00,0.00,0.00,186.02,186.02,0.00,0.00,,
47,2026-06-01T23:00:00+00:00,dry,277.06,0.26,0.00,0.00,0.00,186.28,186.28,0.00,0.00,,
48,2026-06-01T23:30:00+00:00,dry,277.06,0.27,0.00,0.00,0.00,186.55,186.55,0.00,0.00,,
49,2026-06-02T00:00:00+00:00,dry,228.42,0.35,0.00,0.00,0.00,186.90,186.90,0.00,0.00,,
50,2026-06-02T00:30:00+00:00,dry,228.42,0.45,0.00,0.00,0.00,187.35,187.35,0.00,0.00,,
51,2026-06-02T01:00:00+00:00,dry,228.42,0.20,0.00,0.00,0.00,187.55,187.55,0.00,0.00,,
52,2026-06-02T01:30:00+00:00,dry,228.42,0.17,0.00,0.00,0.00,187.72,187.72,0.00,0.00,,
53,2026-06-02T02:00:00+00:00,dry,228.42,0.44,0.00,0.00,0.00,188.16,188.16,0.00,0.00,,
54,2026-06-02T02:30:00+00:00,dry,228.42,0.28,0.00,0.00,0.00,188.44,188.44,0.00,0.00,,
55,2026-06-02T03:00:00+00:00,dry,228.42,0.33,0.00,0.00,0.00,188.77,188.77,0.00,0.00,,
56,2026-06-02T03:30:00+00:00,dry,228.42,0.19,0.00,0.00,0.00,188.96,188.96,0.00,0.00,,
57,2026-06-02T04:00:00+00:00,dry,257.37,0.27,0.00,0.00,0.00,189.23,189.23,0.00,0.00,,
58,2026-06-02T04:30:00+00:00,dry,257.37,0.42,0.00,0.00,0.00,189.65,189.65,0.00,0.00,,
59,2026-06-02T05:00:00+00:00,dry,257.37,0.23,0.00,0.00,0.00,189.88,189.88,0.00,0.00,,
60,2026-06-02T05:30:00+00:00,dry,257.37,1.59,0.00,0.00,0.00,191.47,191.47,0.00,0.00,,
61,2026-06-02T06:00:00+00:00,dry,257.37,1.68,0.00,0.00,0.00,193.15,193.15,0.00,0.00,,
62,2026-06-02T06:30:00+00:00,dry,257.37,1.66,0.00,0.00,0.00,194.81,194.81,0.00,0.00,,
63,2026-06-02T07:00:00+00:00,dry,257.37,1.84,0.00,0.00,0.00,196.65,196.65,0.00,0.00,,
64,2026-06-02T07:30:00+00:00,dry,257.37,1.78,0.00,0.00,0.00,198.43,198.43,0.00,0.00,,
65,2026-06-02T08:00:00+00:00,dry,282.66,1.53,0.00,0.00,0.00,199.96,199.96,0.00,0.00,,
66,2026-06-02T08:30:00+00:00,dry,282.66,1.83,0.00,0.00,0.00,201.79,201.79,0.00,0.00,,
67,2026-06-02T09:00:00+00:00,dry,282.66,1.79,0.00,0.00,0.00,203.58,203.58,0.00,0.00,,
68,2026-06-02T09:30:00+00:00,dry,282.66,1.76,0.00,0.00,0.00,205.34,205.34,0.00,0.00,,
69,2026-06-02T10:00:00+00:00,dry,282.66,1.59,0.00,0.00,0.00,206.93,206.93,0.00,0.00,,
70,2026-06-02T10:30:00+00:00,dry,282.66,0.72,0.00,0.00,0.00,207.65,207.65,0.00,0.00,,
71,2026-06-02T11:00:00+00:00,dry,282.66,0.66,0.00,0.00,0.00,208.31,208.31,0.00,0.00,,
72,2026-06-02T11:30:00+00:00,dry,282.66,0.72,0.00,0.00,0.00,209.03,209.03,0.00,0.00,,
73,2026-06-02T12:00:00+00:00,dry,283.90,0.86,0.00,0.00,0.00,209.89,209.89,0.00,0.00,,
74,2026-06-02T12:30:00+00:00,dry,283.90,0.65,0.00,0.00,0.00,210.54,210.54,0.00,0.00,,
75,2026-06-02T13:00:00+00:00,dry,283.90,0.80,0.00,0.00,0.00,211.34,211.34,0.00,0.00,,
76,2026-06-02T13:30:00+00:00,dry,283.90,0.73,0.00,0.00,0.00,212.07,212.07,0.00,0.00,,
77,2026-06-02T14:00:00+00:00,dry,283.90,0.79,0.00,0.00,0.00,212.86,212.86,0.00,0.00,,
78,2026-06-02T14:30:00+00:00,dry,283.90,0.93,0.00,0.00,0.00,213.79,213.79,0.00,0.00,,
79,2026-06-02T15:00:00+00:00,dry,283.90,0.65,0.00,0.00,0.00,214.44,214.44,0.00,0.00,,
80,2026-06-02T15:30:00+00:00,dry,283.90,0.97,0.00,0.00,0.00,215.41,215.41,0.00,0.00,,
81,2026-06-02T16:00:00+00:00,dry,302.47,1.94,0.00,0.00,0.00,217.35,217.35,0.00,0.00,,
82,2026-06-02T16:30:00+00:00,dry,302.47,1.88,0.00,0.00,0.00,219.23,219.23,0.00,0.00,,
83,2026-06-02T17:00:00+00:00,dry,302.47,2.03,0.00,0.00,0.00,221.26,221.26,0.00,0.00,,
84,2026-06-02T17:30:00+00:00,dry,302.47,1.74,0.00,0.00,0.00,223.00,223.00,0.00,0.00,,
85,2026-06-02T18:00:00+00:00,dry,302.47,1.90,0.00,0.00,0.00,224.90,224.90,0.00,0.00,,
86,2026-06-02T18:30:00+00:00,dry,302.47,1.69,0.00,0.00,0.00,226.59,226.59,0.00,0.00,,
87,2026-06-02T19:00:00+00:00,dry,302.47,2.03,0.00,0.00,0.00,228.62,228.62,0.00,0.00,,
88,2026-06-02T19:30:00+00:00,dry,302.47,2.04,0.00,0.00,0.00,230.66,230.66,0.00,0.00,,
89,2026-06-02T20:00:00+00:00,dry,277.06,1.96,0.00,0.00,0.00,232.62,232.62,0.00,0.00,,
90,2026-06-02T20:30:00+00:00,dry,277.06,1.77,0.00,0.00,0.00,234.39,234.39,0.00,0.00,,
91,2026-06-02T21:00:00+00:00,dry,277.06,1.95,1108.24,1108.24,0.00,232.34,232.34,4.00,4.00,,
92,2026-06-02T21:30:00+00:00,dry,277.06,0.51,0.00,0.00,0.00,232.85,232.85,0.00,0.00,,
93,2026-06-02T22:00:00+00:00,dry,277.06,0.48,0.00,0.00,0.00,233.33,233.33,0.00,0.00,,
94,2026-06-02T22:30:00+00:00,dry,277.06,0.42,0.00,0.00,0.00,233.75,233.75,0.00,0.00,,
95,2026-06-02T23:00:00+00:00,dry,277.06,0.41,0.00,0.00,0.00,234.16,234.16,0.00,0.00,,
96,2026-06-02T23:30:00+00:00,dry,277.06,0.52,0.00,0.00,0.00,234.68,234.68,0.00,0.00,,
97,2026-06-03T00:00:00+00:00,wet,228.42,2.47,913.68,913.68,0.00,233.15,233.15,4.00,4.00,,
98,2026-06-03T00:30:00+00:00,wet,228.42,2.16,913.68,913.68,0.00,231.31,231.31,4.00,4.00,,
99,2026-06-03T01:00:00+00:00,wet,228.42,2.59,0.00,0.00,0.00,233.90,233.90,0.00,0.00,,
100,2026-06-03T01:30:00+00:00,wet,228.42,2.37,913.68,913.68,0.00,232.27,232.27,4.00,4.00,,
101,2026-06-03T02:00:00+00:00,wet,228.42,2.10,0.00,913.68,913.68,234.37,230.37,0.00,4.00,,
102,2026-06-03T02:30:00+00:00,wet,228.42,2.44,913.68,913.68,0.00,232.81,228.81,4.00,4.00,,
103,2026-06-03T03:00:00+00:00,wet,228.42,2.13,0.00,0.00,0.00,234.94,230.94,0.00,0.00,,
104,2026-06-03T03:30:00+00:00,wet,228.42,2.38,913.68,3654.72,2741.04,233.32,217.32,4.00,16.00,,
105,2026-06-03T04:00:00+00:00,wet,257.37,2.08,1029.48,0.00,-1029.48,231.40,219.40,4.00,0.00,,
106,2026-06-03T04:30:00+00:00,wet,257.37,2.51,0.00,0.00,0.00,233.91,221.91,0.00,0.00,,
107,2026-06-03T05:00:00+00:00,wet,257.37,2.00,1029.48,1029.48,0.00,231.91,219.91,4.00,4.00,,
108,2026-06-03T05:30:00+00:00,wet,257.37,5.41,1029.48,1029.48,0.00,233.32,221.32,4.00,4.00,,
109,2026-06-03T06:00:00+00:00,wet,257.37,5.06,1029.48,1029.48,0.00,234.38,222.38,4.00,4.00,,
110,2026-06-03T06:30:00+00:00,wet,257.37,5.42,2058.96,1029.48,-1029.48,231.80,223.80,8.00,4.00,,
111,2026-06-03T07:00:00+00:00,wet,257.37,5.56,1029.48,1029.48,0.00,233.36,225.36,4.00,4.00,,
112,2026-06-03T07:30:00+00:00,wet,257.37,5.05,1029.48,1029.48,0.00,234.41,226.41,4.00,4.00,,
113,2026-06-03T08:00:00+00:00,wet,282.66,5.49,2261.28,0.00,-2261.28,231.90,231.90,8.00,0.00,,
114,2026-06-03T08:30:00+00:00,wet,282.66,5.56,1130.64,1130.64,0.00,233.46,233.46,4.00,4.00,,
115,2026-06-03T09:00:00+00:00,wet,282.66,5.46,1130.64,1130.64,0.00,234.92,234.92,4.00,4.00,,
116,2026-06-03T09:30:00+00:00,wet,282.66,5.54,2261.28,2261.28,0.00,232.46,232.46,8.00,8.00,,
117,2026-06-03T10:00:00+00:00,wet,282.66,5.40,1130.64,1130.64,0.00,233.86,233.86,4.00,4.00,,
118,2026-06-03T10:30:00+00:00,wet,282.66,3.15,1130.64,1130.64,0.00,233.01,233.01,4.00,4.00,,
119,2026-06-03T11:00:00+00:00,wet,282.66,3.42,1130.64,1130.64,0.00,232.43,232.43,4.00,4.00,,
120,2026-06-03T11:30:00+00:00,wet,282.66,3.14,1130.64,1130.64,0.00,231.57,231.57,4.00,4.00,,
121,2026-06-03T12:00:00+00:00,wet,283.90,3.32,0.00,0.00,0.00,234.89,234.89,0.00,0.00,,
122,2026-06-03T12:30:00+00:00,wet,283.90,3.39,1135.60,1135.60,0.00,234.28,234.28,4.00,4.00,,
123,2026-06-03T13:00:00+00:00,wet,283.90,3.65,1135.60,1135.60,0.00,233.93,233.93,4.00,4.00,,
124,2026-06-03T13:30:00+00:00,wet,283.90,3.45,1135.60,1135.60,0.00,233.38,233.38,4.00,4.00,,
125,2026-06-03T14:00:00+00:00,wet,283.90,3.46,1135.60,1135.60,0.00,232.84,232.84,4.00,4.00,,
