tick,timestamp,interval_end,day,time_period,tariff_band,tariff,weather_pattern,inflow,p1_out_of_action,p2_out_of_action,feasible,starting_volume,ending_volume,p1_status,p1_rate,p2_status,p2_rate,pumped_volume,energy_cost,warnings
1,2026-06-01T00:00:00+00:00,2026-06-01T00:30:00+00:00,1,T1,T1-T8,228.42,dry,0.30,false,true,true,135.00,135.30,Online,0.00,Offline,0.00,0.00,0.00,
2,2026-06-01T00:30:00+00:00,2026-06-01T01:00:00+00:00,1,T2,T1-T8,228.42,dry,0.19,false,true,true,135.30,135.49,Online,0.00,Offline,0.00,0.00,0.00,
3,2026-06-01T01:00:00+00:00,2026-06-01T01:30:00+00:00,1,T3,T1-T8,228.42,dry,0.48,false,true,true,135.49,135.97,Online,0.00,Offline,0.00,0.00,0.00,
4,2026-06-01T01:30:00+00:00,2026-06-01T02:00:00+00:00,1,T4,T1-T8,228.42,dry,0.37,false,true,true,135.97,136.34,Online,0.00,Offline,0.00,0.00,0.00,
5,2026-06-01T02:00:00+00:00,2026-06-01T02:30:00+00:00,1,T5,T1-T8,228.42,dry,0.29,false,true,true,136.34,136.63,Online,0.00,Offline,0.00,0.00,0.00,
6,2026-06-01T02:30:00+00:00,2026-06-01T03:00:00+00:00,1,T6,T1-T8,228.42,dry,0.25,false,true,true,136.63,136.88,Online,0.00,Offline,0.00,0.00,0.00,
7,2026-06-01T03:00:00+00:00,2026-06-01T03:30:00+00:00,1,T7,T1-T8,228.42,dry,0.50,false,true,true,136.88,137.38,Online,0.00,Offline,0.00,0.00,0.00,
8,2026-06-01T03:30:00+00:00,2026-06-01T04:00:00+00:00,1,T8,T1-T8,228.42,dry,0.34,false,true,true,137.38,137.72,Online,0.00,Offline,0.00,0.00,0.00,
9,2026-06-01T04:00:00+00:00,2026-06-01T04:30:00+00:00,1,T9,T9-T16,257.37,dry,0.21,false,true,true,137.72,137.93,Online,0.00,Offline,0.00,0.00,0.00,
10,2026-06-01T04:30:00+00:00,2026-06-01T05:00:00+00:00,1,T10,T9-T16,257.37,dry,0.17,false,true,true,137.93,138.10,Online,0.00,Offline,0.00,0.00,0.00,
11,2026-06-01T05:00:00+00:00,2026-06-01T05:30:00+00:00,1,T11,T9-T16,257.37,dry,0.25,false,true,true,138.10,138.35,Online,0.00,Offline,0.00,0.00,0.00,
12,2026-06-01T05:30:00+00:00,2026-06-01T06:00:00+00:00,1,T12,T9-T16,257.37,dry,1.82,false,true,true,138.35,140.17,Online,0.00,Offline,0.00,0.00,0.00,
13,2026-06-01T06:00:00+00:00,2026-06-01T06:30:00+00:00,1,T13,T9-T16,257.37,dry,1.83,false,false,true,140.17,142.00,Online,0.00,Offline,0.00,0.00,0.00,
14,2026-06-01T06:30:00+00:00,2026-06-01T07:00:00+00:00,1,T14,T9-T16,257.37,dry,1.60,false,false,true,142.00,143.60,Online,0.00,Offline,0.00,0.00,0.00,
15,2026-06-01T07:00:00+00:00,2026-06-01T07:30:00+00:00,1,T15,T9-T16,257.37,dry,1.75,false,false,true,143.60,145.35,Online,0.00,Offline,0.00,0.00,0.00,
16,2026-06-01T07:30:00+00:00,2026-06-01T08:00:00+00:00,1,T16,T9-T16,257.37,dry,1.74,false,false,true,145.35,147.09,Online,0.00,Offline,0.00,0.00,0.00,
17,2026-06-01T08:00:00+00:00,2026-06-01T08:30:00+00:00,1,T17,T17-T24,282.66,dry,1.79,false,false,true,147.09,148.88,Online,0.00,Offline,0.00,0.00,0.00,
18,2026-06-01T08:30:00+00:00,2026-06-01T09:00:00+00:00,1,T18,T17-T24,282.66,dry,1.62,false,false,true,148.88,150.50,Online,0.00,Offline,0.00,0.00,0.00,
19,2026-06-01T09:00:00+00:00,2026-06-01T09:30:00+00:00,1,T19,T17-T24,282.66,dry,1.81,false,false,true,150.50,152.31,Online,0.00,Offline,0.00,0.00,0.00,
20,2026-06-01T09:30:00+00:00,2026-06-01T10:00:00+00:00,1,T20,T17-T24,282.66,dry,1.77,false,false,true,152.31,154.08,Online,0.00,Offline,0.00,0.00,0.00,
21,2026-06-01T10:00:00+00:00,2026-06-01T10:30:00+00:00,1,T21,T17-T24,282.66,dry,1.84,false,false,true,154.08,155.92,Online,0.00,Offline,0.00,0.00,0.00,
22,2026-06-01T10:30:00+00:00,2026-06-01T11:00:00+00:00,1,T22,T17-T24,282.66,dry,0.98,false,false,true,155.92,156.90,Online,0.00,Offline,0.00,0.00,0.00,
23,2026-06-01T11:00:00+00:00,2026-06-01T11:30:00+00:00,1,T23,T17-T24,282.66,dry,0.85,false,false,true,156.90,157.75,Online,0.00,Offline,0.00,0.00,0.00,
24,2026-06-01T11:30:00+00:00,2026-06-01T12:00:00+00:00,1,T24,T17-T24,282.66,dry,0.65,false,false,true,157.75,158.40,Online,0.00,Offline,0.00,0.00,0.00,
25,2026-06-01T12:00:00+00:00,2026-06-01T12:30:00+00:00,1,T25,T25-T32,283.90,dry,0.87,false,false,true,158.40,159.27,Online,0.00,Offline,0.00,0.00,0.00,
26,2026-06-01T12:30:00+00:00,2026-06-01T13:00:00+00:00,1,T26,T25-T32,283.90,dry,0.69,false,false,true,159.27,159.96,Online,0.00,Offline,0.00,0.00,0.00,
27,2026-06-01T13:00:00+00:00,2026-06-01T13:30:00+00:00,1,T27,T25-T32,283.90,dry,0.80,false,false,true,159.96,160.76,Online,0.00,Offline,0.00,0.00,0.00,
28,2026-06-01T13:30:00+00:00,2026-06-01T14:00:00+00:00,1,T28,T25-T32,283.90,dry,0.93,false,false,true,160.76,161.69,Online,0.00,Offline,0.00,0.00,0.00,
29,2026-06-01T14:00:00+00:00,2026-06-01T14:30:00+00:00,1,T29,T25-T32,283.90,dry,0.70,false,false,true,161.69,162.39,Online,0.00,Offline,0.00,0.00,0.00,
30,2026-06-01T14:30:00+00:00,2026-06-01T15:00:00+00:00,1,T30,T25-T32,283.90,dry,0.70,false,false,true,162.39,163.09,Online,0.00,Offline,0.00,0.00,0.00,
31,2026-06-01T15:00:00+00:00,2026-06-01T15:30:00+00:00,1,T31,T25-T32,283.90,dry,0.67,false,false,true,163.09,163.76,Online,0.00,Offline,0.00,0.00,0.00,
32,2026-06-01T15:30:00+00:00,2026-06-01T16:00:00+00:00,1,T32,T25-T32,283.90,dry,0.79,false,false,true,163.76,164.55,Online,0.00,Offline,0.00,0.00,0.00,
33,2026-06-01T16:00:00+00:00,2026-06-01T16:30:00+00:00,1,T33,T33-T40,302.47,dry,1.70,false,false,true,164.55,166.25,Online,0.00,Offline,0.00,0.00,0.00,
34,2026-06-01T16:30:00+00:00,2026-06-01T17:00:00+00:00,1,T34,T33-T40,302.47,dry,1.82,false,false,true,166.25,168.07,Online,0.00,Offline,0.00,0.00,0.00,
35,2026-06-01T17:00:00+00:00,2026-06-01T17:30:00+00:00,1,T35,T33-T40,302.47,dry,2.01,false,false,true,168.07,170.08,Online,0.00,Offline,0.00,0.00,0.00,
36,2026-06-01T17:30:00+00:00,2026-06-01T18:00:00+00:00,1,T36,T33-T40,302.47,dry,1.72,false,false,true,170.08,171.80,Online,0.00,Offline,0.00,0.00,0.00,
37,2026-06-01T18:00:00+00:00,2026-06-01T18:30:00+00:00,1,T37,T33-T40,302.47,dry,1.68,false,false,true,171.80,173.48,Online,0.00,Offline,0.00,0.00,0.00,
38,2026-06-01T18:30:00+00:00,2026-06-01T19:00:00+00:00,1,T38,T33-T40,302.47,dry,1.82,false,false,true,173.48,175.30,Online,0.00,Offline,0.00,0.00,0.00,
39,2026-06-01T19:00:00+00:00,2026-06-01T19:30:00+00:00,1,T39,T33-T40,302.47,dry,1.88,false,false,true,175.30,177.18,Online,0.00,Offline,0.00,0.00,0.00,
40,2026-06-01T19:30:00+00:00,2026-06-01T20:00:00+00:00,1,T40,T33-T40,302.47,dry,1.74,false,false,true,177.18,178.92,Online,0.00,Offline,0.00,0.00,0.00,
41,2026-06-01T20:00:00+00:00,2026-06-01T20:30:00+00:00,1,T41,T41-T48,277.06,dry,2.02,false,false,true,178.92,180.94,Online,0.00,Offline,0.00,0.00,0.00,
42,2026-06-01T20:30:00+00:00,2026-06-01T21:00:00+00:00,1,T42,T41-T48,277.06,dry,1.84,false,false,true,180.94,182.78,Online,0.00,Offline,0.00,0.00,0.00,
