tick,timestamp,interval_end,day,time_period,tariff_band,tariff,weather_pattern,inflow,p1_out_of_action,p2_out_of_action
1,2026-06-01T00:00:00+00:00,2026-06-01T00:30:00+00:00,1,T1,T1-T8,228.42,dry,0.30,false,true
2,2026-06-01T00:30:00+00:00,2026-06-01T01:00:00+00:00,1,T2,T1-T8,228.42,dry,0.19,false,true
3,2026-06-01T01:00:00+00:00,2026-06-01T01:30:00+00:00,1,T3,T1-T8,228.42,dry,0.48,false,true
4,2026-06-01T01:30:00+00:00,2026-06-01T02:00:00+00:00,1,T4,T1-T8,228.42,dry,0.37,false,true
5,2026-06-01T02:00:00+00:00,2026-06-01T02:30:00+00:00,1,T5,T1-T8,228.42,dry,0.29,false,true
6,2026-06-01T02:30:00+00:00,2026-06-01T03:00:00+00:00,1,T6,T1-T8,228.42,dry,0.25,false,true
7,2026-06-01T03:00:00+00:00,2026-06-01T03:30:00+00:00,1,T7,T1-T8,228.42,dry,0.50,false,true
8,2026-06-01T03:30:00+00:00,2026-06-01T04:00:00+00:00,1,T8,T1-T8,228.42,dry,0.34,false,true
9,2026-06-01T04:00:00+00:00,2026-06-01T04:30:00+00:00,1,T9,T9-T16,257.37,dry,0.21,false,true
10,2026-06-01T04:30:00+00:00,2026-06-01T05:00:00+00:00,1,T10,T9-T16,257.37,dry,0.17,false,true
11,2026-06-01T05:00:00+00:00,2026-06-01T05:30:00+00:00,1,T11,T9-T16,257.37,dry,0.25,false,true
12,2026-06-01T05:30:00+00:00,2026-06-01T06:00:00+00:00,1,T12,T9-T16,257.37,dry,1.82,false,true
13,2026-06-01T06:00:00+00:00,2026-06-01T06:30:00+00:00,1,T13,T9-T16,257.37,dry,1.83,false,false
14,2026-06-01T06:30:00+00:00,2026-06-01T07:00:00+00:00,1,T14,T9-T16,257.37,dry,1.60,false,false
15,2026-06-01T07:00:00+00:00,2026-06-01T07:30:00+00:00,1,T15,T9-T16,257.37,dry,1.75,false,false
16,2026-06-01T07:30:00+00:00,2026-06-01T08:00:00+00:00,1,T16,T9-T16,257.37,dry,1.74,false,false
17,2026-06-01T08:00:00+00:00,2026-06-01T08:30:00+00:00,1,T17,T17-T24,282.66,dry,1.79,false,false
18,2026-06-01T08:30:00+00:00,2026-06-01T09:00:00+00:00,1,T18,T17-T24,282.66,dry,1.62,false,false
19,2026-06-01T09:00:00+00:00,2026-06-01T09:30:00+00:00,1,T19,T17-T24,282.66,dry,1.81,false,false
20,2026-06-01T09:30:00+00:00,2026-06-01T10:00:00+00:00,1,T20,T17-T24,282.66,dry,1.77,false,false
21,2026-06-01T10:00:00+00:00,2026-06-01T10:30:00+00:00,1,T21,T17-T24,282.66,dry,1.84,false,false
22,2026-06-01T10:30:00+00:00,2026-06-01T11:00:00+00:00,1,T22,T17-T24,282.66,dry,0.98,false,false
23,2026-06-01T11:00:00+00:00,2026-06-01T11:30:00+00:00,1,T23,T17-T24,282.66,dry,0.85,false,false
24,2026-06-01T11:30:00+00:00,2026-06-01T12:00:00+00:00,1,T24,T17-T24,282.66,dry,0.65,false,false
25,2026-06-01T12:00:00+00:00,2026-06-01T12:30:00+00:00,1,T25,T25-T32,283.90,dry,0.87,false,false
26,2026-06-01T12:30:00+00:00,2026-06-01T13:00:00+00:00,1,T26,T25-T32,283.90,dry,0.69,false,false
27,2026-06-01T13:00:00+00:00,2026-06-01T13:30:00+00:00,1,T27,T25-T32,283.90,dry,0.80,false,false
28,2026-06-01T13:30:00+00:00,2026-06-01T14:00:00+00:00,1,T28,T25-T32,283.90,dry,0.93,false,false
29,2026-06-01T14:00:00+00:00,2026-06-01T14:30:00+00:00,1,T29,T25-T32,283.90,dry,0.70,false,false
30,2026-06-01T14:30:00+00:00,2026-06-01T15:00:00+00:00,1,T30,T25-T32,283.90,dry,0.70,false,false
31,2026-06-01T15:00:00+00:00,2026-06-01T15:30:00+00:00,1,T31,T25-T32,283.90,dry,0.67,false,false
32,2026-06-01T15:30:00+00:00,2026-06-01T16:00:00+00:00,1,T32,T25-T32,283.90,dry,0.79,false,false
33,2026-06-01T16:00:00+00:00,2026-06-01T16:30:00+00:00,1,T33,T33-T40,302.47,dry,1.70,false,false
34,2026-06-01T16:30:00+00:00,2026-06-01T17:00:00+00:00,1,T34,T33-T40,302.47,dry,1.82,false,false
35,2026-06-01T17:00:00+00:00,2026-06-01T17:30:00+00:00,1,T35,T33-T40,302.47,dry,2.01,false,false
36,2026-06-01T17:30:00+00:00,2026-06-01T18:00:00+00:00,1,T36,T33-T40,302.47,dry,1.72,false,false
37,2026-06-01T18:00:00+00:00,2026-06-01T18:30:00+00:00,1,T37,T33-T40,302.47,dry,1.68,false,false
38,2026-06-01T18:30:00+00:00,2026-06-01T19:00:00+00:00,1,T38,T33-T40,302.47,dry,1.82,false,false
39,2026-06-01T19:00:00+00:00,2026-06-01T19:30:00+00:00,1,T39,T33-T40,302.47,dry,1.88,false,false
40,2026-06-01T19:30:00+00:00,2026-06-01T20:00:00+00:00,1,T40,T33-T40,302.47,dry,1.74,false,false
41,2026-06-01T20:00:00+00:00,2026-06-01T20:30:00+00:00,1,T41,T41-T48,277.06,dry,2.02,false,false
42,2026-06-01T20:30:00+00:00,2026-06-01T21:00:00+00:00,1,T42,T41-T48,277.06,dry,1.84,false,false
43,2026-06-01T21:00:00+00:00,2026-06-01T21:30:00+00:00,1,T43,T41-T48,277.06,dry,1.86,false,false
44,2026-06-01T21:30:00+00:00,2026-06-01T22:00:00+00:00,1,T44,T41-T48,277.06,dry,0.52,false,false
45,2026-06-01T22:00:00+00:00,2026-06-01T22:30:00+00:00,1,T45,T41-T48,277.06,dry,0.28,false,false
46,2026-06-01T22:30:00+00:00,2026-06-01T23:00:00+00:00,1,T46,T41-T48,277.06,dry,0.58,false,false
47,2026-06-01T23:00:00+00:00,2026-06-01T23:30:00+00:00,1,T47,T41-T48,277.06,dry,0.26,false,false
48,2026-06-01T23:30:00+00:00,2026-06-02T00:00:00+00:00,1,T48,T41-T48,277.06,dry,0.27,false,false
